Customer	ESP	Sex	Age	Account	Revenue	Activated
0	yahoo	male	36	2	11.5	No
0	zoho	male	52	2	8.05	No
1	gmail	female	51	2	86.5	No
0	zoho	male	18	2	14.5	No
0	zoho	male	59	2	7.125	No
1	zoho	male	38	2	7.2292	Yes
1	gmail	female	54	4	120	No
0	zoho	male	34	2	7.775	No
1	gmail	female	69	4	77.9583	No
0	gmail	male	18	2	39.6	Yes
0	zoho	female		2	7.75	
0	zoho	male	18	4	24.15	
0	zoho	male	50	2	8.3625	No
0	zoho	male	42	2	9.5	No
0	zoho	male	66	2	7.8542	No
0	yahoo	female	75	2	10.5	No
0	zoho	male	18	2	7.225	Yes
1	yahoo	female	72	4	23	No
0	zoho	male	36	2	7.75	No
0	zoho	male	18	2	7.75	
1	zoho	female	23	2	12.475	No
0	zoho	male	18	2	7.7375	
1	gmail	female	61	2	211.3375	No
1	zoho	female	31	2	7.2292	Yes
1	gmail	female	35	4	57	No
0	gmail	male	47	2	30	No
0	zoho	male	18	4	23.45	No
0	zoho	male	43	2	7.05	No
0	zoho	male	43	2	7.25	No
1	zoho	female	36	2	7.4958	No
0	zoho	male	26	4	29.125	
1	zoho	male	19	4	20.575	No
0	gmail	male	64	2	79.2	Yes
0	zoho	male	18	2	7.75	
0	yahoo	male	34	2	26	No
0	zoho	female	18	0	69.55	No
0	gmail	male	18	2	30.6958	Yes
0	zoho	male	43	2	7.8958	No
0	yahoo	male	57	2	13	No
1	gmail	female	67	2	25.9292	No
1	zoho	female	49	2	8.6833	No
0	zoho	male	48	2	7.2292	Yes
0	zoho	female	48	4	24.15	No
0	yahoo	male	52	2	13	No
1	yahoo	female	49	4	26.25	No
1	gmail	male	29	4	120	No
1	zoho	male		2	8.5167	Yes
1	zoho	male	45	2	6.975	No
0	zoho	male	49	2	7.775	No
0	gmail	male	57	2	0	No
0	zoho	female	36	2	7.775	No
0	yahoo	male	57	2	13	No
1	gmail	female	51	4	53.1	No
0	zoho	male	44	2	7.8875	No
0	zoho	male	57	2	24.15	No
0	yahoo	male	53	2	10.5	No
0	zoho	female	24	4	31.275	No
0	zoho	male		2	8.05	No
0	gmail	male	18	2	0	No
0	zoho	female	41	2	7.925	No
0	yahoo	male	49	4	37.0042	Yes
0	zoho	male	61	2	6.45	No
0	zoho	male	28	1	27.9	No
1	gmail	female	70	4	93.5	No
1	zoho	male	45	2	8.6625	No
0	gmail	male	56	2	0	No
1	zoho	female	45	2	12.475	No
0	zoho	male	20	4	39.6875	No
0	zoho	male	18	2	6.95	
0	zoho	male	18	2	56.4958	No
1	yahoo	male	19	2	37.0042	Yes
1	zoho	male	18	2	7.75	
1	gmail	female	80	2	80	
1	zoho	female	33	4	14.4542	Yes
1	yahoo	male		4	18.75	No
0	zoho	male	18	2	7.2292	Yes
0	zoho	male	41	2	7.8542	No
0	zoho	male	36	2	8.3	No
1	gmail	female	57	4	83.1583	Yes
0	zoho	male	39	2	8.6625	No
0	zoho	male	18	2	8.05	No
1	zoho	male	50	2	56.4958	No
1	gmail	male	18	2	29.7	Yes
0	zoho	male	38	2	7.925	No
0	yahoo	male	34	2	10.5	No
1	gmail	female	48	2	31	Yes
0	zoho	male		2	6.4375	Yes
0	zoho	male	35	2	8.6625	No
0	zoho	male	60	2	7.55	No
0	zoho	male	18	0	69.55	No
0	zoho	male	53	2	7.8958	Yes
0	yahoo	male	46	2	33	No
1	gmail	female	18	4	89.1042	Yes
0	zoho	male	22	4	31.275	No
0	zoho	male	92	2	7.775	No
0	zoho	female	27	4	15.2458	Yes
1	gmail	female	34	2	39.4	No
0	yahoo	female	62	4	26	No
1	zoho	female	36	2	9.35	No
1	gmail	female	63	4	164.8667	No
1	gmail	male	69	2	26.55	No
1	zoho	female	42	2	19.2583	Yes
0	zoho	male	18	2	7.2292	Yes
0	zoho	male	59	3	14.1083	No
0	yahoo	male	39	4	11.5	No
1	gmail	female	66	2	25.9292	No
0	zoho	female	18	0	69.55	No
0	yahoo	male	42	2	13	No
1	yahoo	female	60	2	13	No
1	yahoo	female	45	4	13.8583	Yes
0	gmail	male	49	2	50.4958	No
0	zoho	male	18	2	9.5	No
1	zoho	male	22	4	11.1333	No
0	zoho	male	44	2	7.8958	No
1	gmail	female	65	4	52.5542	No
0	gmail	male	51	2	5	No
0	zoho	male	65	2	9	No
1	yahoo	female	46	4	24	Yes
1	zoho	female	33	2	7.225	Yes
0	zoho	male	38	2	9.8458	No
0	zoho	male	37	2	7.8958	No
0	zoho	male	18	2	7.8958	No
1	gmail	female	74	2	83.1583	Yes
1	yahoo	female	43	2	26	No
0	zoho	male	51	2	7.8958	No
0	zoho	female	40	2	10.5167	No
0	yahoo	male	46	2	10.5	No
0	zoho	male	43	2	7.05	No
0	zoho	female	57	2	29.125	
0	yahoo	male	45	2	13	No
1	gmail	female	37	2	30	No
0	zoho	female	18	4	23.45	No
1	gmail	male	44	2	30	Yes
0	zoho	male	50	2	7.75	
